ID;Nom;Prix (€);Qté;CA (€);Z-score
5026;"Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012";86,8;0,0;0,0;1,9517320658705044
4359;Champagne Larmandier-Bernier Grand Cru Les Chemins d'Avize 2011;85,6;1,0;85,6;1,9086218323188977
5580;Lucien Boillot Puligny-Montrachet 1er Cru Les Perrières 2016;83,7;0,0;0,0;1,8403639625288544
4337;Champagne Mailly Grand Cru Les Echansons 2007;83,0;0,0;0,0;1,815216326290417
4046;Pierre Gaillard Côte Rôtie Rose Pourpre 2017;80,0;6,0;480,0;1,7074407424114006
4210;Lucien Boillot Nuits-Saint-Georges 1er Cru Les Pruliers 2017;79,8;0,0;0,0;1,7002557034861328
4353;Champagne Egly-Ouriet Grand Cru Brut Rosé;79,5;3,0;238,5;1,6894781450982312
4350;Champagne Egly-Ouriet Grand Cru Extra Brut V.P.;79,5;0,0;0,0;1,6894781450982312
4994;Domaine Peyre Rose Syrah Léone 2008;78,0;0,0;0,0;1,635590353158723
4995;Domaine Peyre Rose Oro Blanc 2002;78,0;0,0;0,0;1,635590353158723
6299;Lucien Boillot Gevrey Chambertin 1er Cru Les Cherbaudes 2017;78,0;0,0;0,0;1,635590353158723
4996;Domaine Peyre Rose Marlène N°3 2008;78,0;0,0;0,0;1,635590353158723
4797;Domaine Peyre Rose Clos des Cistes 2008;78,0;0,0;0,0;1,635590353158723
4073;Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015;77,8;0,0;0,0;1,6284053142334551
4139;Zind-Humbrecht Gewurztraminer Grand Cru Rangen De Thann Clos Saint-Urbain 2013;77,4;0,0;0,0;1,61403523638292
4358;Champagne Larmandier-Bernier Grand Cru Vieilles Vignes du Levant 2008;77,0;0,0;0,0;1,5996651585323842
4631;Marcel Windholtz Eau de Vie de Baie de Houx;76,8;0,0;0,0;1,5924801196071163
6106;Stéphane Tissot Château-Chalon 2011;74,8;0,0;0,0;1,5206297303544387
5951;Domaine de Vaccelli AOP Ajaccio Rouge Granit 174 2017;74,5;0,0;0,0;1,5098521719665372
5741;Domaine Clerget Chambolle-Musigny Les Charmes 2015;73,3;0,0;0,0;1,4667419384149305
6568;Decelle-Villa Chambolle-Musigny 2017;72,0;0,0;0,0;1,4200391854006902
6041;Château de Vaudieu Châteauneuf-du-Pape Amiral G 2015;71,7;0,0;0,0;1,4092616270127887
4054;Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018;71,6;10,0;716,0;1,4056691075501544
5968;Zind-Humbrecht Pinot Gris Clos Windsbuhl 2013;71,5;0,0;0,0;1,4020765880875208
5618;"Albert Boxler Riesling Grand Cru Sommerberg ""D"" 2018";71,3;0,0;0,0;1,3948915491622529
5619;"Albert Boxler Riesling Grand Cru Sommerberg ""E"" 2018";71,3;0,0;0,0;1,3948915491622529
4286;Domaine Hauvette Les Baux de Provence Amethyste 2017;69,8;10,0;698,0;1,3410037572227447
5969;Zind-Humbrecht Riesling Clos Windsbuhl 2014;69,0;0,0;0,0;1,3122636015216738
7025;Domaine Jamet Côte Rôtie Fructus Voluptas 2018;69,0;0,0;0,0;1,3122636015216738
4149;Champagne Mailly Grand Cru Intemporelle Rosé 2009;69,0;0,0;0,0;1,3122636015216738
6573;Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017;68,3;1,0;68,3;1,2871159652832365
4405;Cognac Frapin Château de Fontpinot XO 1/2;68,1;0,0;0,0;1,2799309263579686
4617;Alphonse Mellot Sancerre Rouge Génération XIX 2011;67,5;0,0;0,0;1,2583758095821655
4573;Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015;67,2;0,0;0,0;1,247598251194264
5063;Lucien Boillot Pommard 1er Cru Les Croix Noires 2017;67,0;0,0;0,0;1,2404132122689961
5545;Marc Colin Et Fils Chassagne-Montrachet Blanc Les Caillerets 1er Cru 2016;65,9;7,0;461,3;1,2008954981800237
5069;Albert Mann Pinot Noir Les Saintes Claires 2017;65,0;0,0;0,0;1,1685628230163185
5002;David Duband Morey-Saint-Denis 1er Cru Les Broc 2016;64,9;0,0;0,0;1,164970303553685
5820;Maison Trimbach Riesling Cuvée Frédéric Emile 2012;63,5;0,0;0,0;1,1146750310768103
5818;Maison Trimbach Riesling Grand Cru Schlossberg 2015;63,5;0,0;0,0;1,1146750310768103
5611;Domaine Weinbach Riesling Grand Cru Schlossberg Cuvée Ste Catherine 2018;63,4;1,0;63,4;1,1110825116141765
4401;Cognac Frapin VSOP;62,5;1,0;62,5;1,0787498364504715
